sentence_text,title,article_link,paragraph_text,PMID,DateCompleted,ChemicalList,AbstractText,PubDate,cleaned_sentence_text,sentence_html
"Blood levels of dehydroepiandrosterone sulphate ( DHEAS ) were measured by radioimmunoassay ( RIA ) in patients with : a ) polymyalgia rheumatica/giant cell arteritis ( PMR : TA ; N = 25 ) , with and without cortisone derivative treatment ( N = 10 and N = 15 , respectively ) ; and b ) primary fibromyalgia ( PF ; N = 15 ) .",Blood dehydroepiandrosterone sulphate (DHEAS) levels in polymyalgia rheumatica/giant cell arteritis and primary fibromyalgia.,https://pubmed.ncbi.nlm.nih.gov/7955606/,"Blood levels of dehydroepiandrosterone sulphate (DHEAS) were measured by radioimmunoassay (RIA) in patients with: a) polymyalgia rheumatica/giant cell arteritis (PMR:TA; N = 25), with and without cortisone derivative treatment (N = 10 and N = 15, respectively); and b) primary fibromyalgia (PF; N = 15). The mean DHEAS levels were found to be significantly reduced in PMR:TA, compared to those in PF (Geom. mean 820 vs. 2300 nmol/l, respectively; p &lt; 0.001), and the reduction was more marked in patients on cortisone derivative treatment. The DHEAS levels found in PF were found to be normal and consistent with those previously reported in non-immune mediated rheumatological diseases such as osteoarthritis, and in healthy subjects, using the same method of analysis. The low levels found in patients with PM:TA are in accordance with those previously reported in immune-mediated diseases such as systemic lupus erythematosus (SLE) and rheumatoid arthritis, suggesting that diminution of DHEAS is a constant endocrinologic feature in these categories of patients. The pathophysiological significance of these low DHEAS levels needs to be investigated.",7955606,1994-11-29,"['Dehydroepiandrosterone', 'Dehydroepiandrosterone Sulfate']","Blood levels of dehydroepiandrosterone sulphate (DHEAS) were measured by radioimmunoassay (RIA) in patients with: a) polymyalgia rheumatica/giant cell arteritis (PMR:TA; N = 25), with and without cortisone derivative treatment (N = 10 and N = 15, respectively); and b) primary fibromyalgia (PF; N = 15). The mean DHEAS levels were found to be significantly reduced in PMR:TA, compared to those in PF (Geom. mean 820 vs. 2300 nmol/l, respectively; p < 0.001), and the reduction was more marked in patients on cortisone derivative treatment. The DHEAS levels found in PF were found to be normal and consistent with those previously reported in non-immune mediated rheumatological diseases such as osteoarthritis, and in healthy subjects, using the same method of analysis. The low levels found in patients with PM:TA are in accordance with those previously reported in immune-mediated diseases such as systemic lupus erythematosus (SLE) and rheumatoid arthritis, suggesting that diminution of DHEAS is a constant endocrinologic feature in these categories of patients. The pathophysiological significance of these low DHEAS levels needs to be investigated.",{'MedlineDate': '1994 Jul-Aug'},"blood levels of dehydroepiandrosterone sulphate ( dheas ) were measured by radioimmunoassay ( ria ) in patients with : a ) polymyalgia rheumatica/giant cell arteritis ( pmr : ta ; n = 25 ) , with and without cortisone derivative treatment ( n = 10 and n = 15 , respectively ) ; and b ) primary fibromyalgia ( pf ; n = 15 ) .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">
<mark class=""entity"" style=""background: $((ORGANISM_SUBSTANCE)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    blood
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM_SUBSTANCE</span>
</mark>
 levels of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    dehydroepiandrosterone sulphate
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 ( 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    dheas
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 ) were measured by radioimmunoassay ( ria ) in 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with : a ) polymyalgia 
<mark class=""entity"" style=""background: $((CELL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    rheumatica/giant cell
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">CELL</span>
</mark>
 arteritis ( pmr : ta ; n = 25 ) , with and without 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    cortisone
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 derivative treatment ( n = 10 and n = 15 , respectively ) ; and b ) primary fibromyalgia ( pf ; n = 15 ) .</div>"
"A comprehensive search through MEDLINE , EMBASE , Scopus , and Web of Science for studies relating to HBOT and pain was performed using the   following keywords : hyperbaric oxygen therapy or hyperbaric oxygen treatment ( HBOT ) , nociceptive pain , inflammatory pain , neuropathic pain , HBOT AND pain , HBOT AND   headache , HBOT AND fibromyalgia , HBOT AND complex   regional pain syndrome , and HBOT AND trigeminal neuralgia .",Hyperbaric Oxygen Therapy: A New Treatment for Chronic Pain?,https://pubmed.ncbi.nlm.nih.gov/25988526/,"A comprehensive search through MEDLINE, EMBASE, Scopus, and Web of Science for studies relating to HBOT and pain was performed using the following keywords: hyperbaric oxygen therapy or hyperbaric oxygen treatment (HBOT), nociceptive pain, inflammatory pain, neuropathic pain, HBOT AND pain, HBOT AND headache, HBOT AND fibromyalgia, HBOT AND complex regional pain syndrome, and HBOT AND trigeminal neuralgia.",25988526,2017-02-09,,"Hyperbaric oxygen therapy (HBOT) is a treatment providing 100% oxygen at a pressure greater than that at sea level. HBOT is becoming increasingly recognized as a potential treatment modality for a broad range of ailments, including chronic pain. In this narrative review, we discuss the current understanding of pathophysiology of nociceptive, inflammatory and neuropathic pain, and the body of animal studies addressing mechanisms by which HBOT may ameliorate these different types of pain. Finally, we review clinical studies suggesting that HBOT may be useful in treating chronic pain syndromes, including chronic headache, fibromyalgia, complex regional pain syndrome, and trigeminal neuralgia.","{'Year': '2016', 'Month': '06'}","a comprehensive search through medline , embase , scopus , and web of science for studies relating to hbot and pain was performed using the   following keywords : hyperbaric oxygen therapy or hyperbaric oxygen treatment ( hbot ) , nociceptive pain , inflammatory pain , neuropathic pain , hbot and pain , hbot and   headache , hbot and fibromyalgia , hbot and complex   regional pain syndrome , and hbot and trigeminal neuralgia .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">a comprehensive search through medline , embase , scopus , and web of science for studies relating to hbot and pain was performed using the   following keywords : hyperbaric 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    oxygen
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 therapy or hyperbaric 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    oxygen
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 treatment ( hbot ) , nociceptive pain , inflammatory pain , neuropathic pain , hbot and pain , hbot and   headache , hbot and fibromyalgia , hbot and complex   regional pain syndrome , and hbot and trigeminal neuralgia .</div>"
"Patients with fibromyalgia who think their illness negatively affects their mental well-being are at increased risk for more depressive symptoms , and those who think treatment of their illness will not be effective are at increased risk for more anxiety symptoms .",Poor Illness Perceptions Are a Risk Factor for Depressive and Anxious Symptomatology in Fibromyalgia Syndrome: A Longitudinal Cohort Study.,https://pubmed.ncbi.nlm.nih.gov/29163236/,"Our data suggest that not pain severity or maladaptive coping, but poor illness perceptions are important in elevated depressive and anxious symptomatology. Patients with fibromyalgia who think their illness negatively affects their mental well-being are at increased risk for more depressive symptoms, and those who think treatment of their illness will not be effective are at increased risk for more anxiety symptoms. Strengthening illness beliefs and reducing catastrophic thinking, therefore, seem crucial factors in the treatment of patients with FMS.",29163236,,,"Patients with widespread pain, such as in fibromyalgia, are vulnerable for depression and anxiety, which composes a relevant public health problem. Identifying risk factors for the onset of depression and anxiety is therefore warranted. Objective of this study was to determine whether severe pain, maladaptive coping, and poor illness perceptions are associated with depressive and anxious symptomatology in fibromyalgia.",{'Year': '2017'},"patients with fibromyalgia who think their illness negatively affects their mental well-being are at increased risk for more depressive symptoms , and those who think treatment of their illness will not be effective are at increased risk for more anxiety symptoms .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with fibromyalgia who think their illness negatively affects their mental well-being are at increased risk for more depressive symptoms , and those who think treatment of their illness will not be effective are at increased risk for more anxiety symptoms .</div>"
[ New approaches to diagnosis and treatment of fibromyalgia in spinal osteochondrosis ] .,[New approaches to diagnosis and treatment of fibromyalgia in spinal osteochondrosis].,https://pubmed.ncbi.nlm.nih.gov/11494446/,[New approaches to diagnosis and treatment of fibromyalgia in spinal osteochondrosis]. To compare effectiveness of manual and bioresonance therapies for fibromyalgia (FM) in spinal osteochondrosis (SO).,11494446,2001-12-04,,To compare effectiveness of manual and bioresonance therapies for fibromyalgia (FM) in spinal osteochondrosis (SO).,{'Year': '2001'},[ new approaches to diagnosis and treatment of fibromyalgia in spinal osteochondrosis ] .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">[ new approaches to diagnosis and treatment of fibromyalgia in spinal osteochondrosis ] .</div>"
"However , fibromyalgia treatment should be tailored to the individual needs of the patient , and adrenal , thyroid , and ovarian hormone support can lessen the painful burden of fibromyalgia through the modulation of various hormone-regulated pain-production pathways .",The role of sex hormones on fibromyalgia pain mediators.,https://pubmed.ncbi.nlm.nih.gov/23965496/,"Understanding the role of the sex hormones in the pain mechanisms and various effects on nociceptors is imperative to managing potential underlying hormone disruptions in chronic pain syndromes. The myriad of overlapping symptoms between mid-life hormone imbalances and mid-life onset of fibromyalgia syndrome in women indicates a role for sex hormones in the etiology of fibromyalgia syndrome, which is, as of yet, unsupported by the literature. However, fibromyalgia treatment should be tailored to the individual needs of the patient, and adrenal, thyroid, and ovarian hormone support can lessen the painful burden of fibromyalgia through the modulation of various hormone-regulated pain-production pathways.",23965496,2015-02-11,,"Understanding the role of the sex hormones in the pain mechanisms and various effects on nociceptors is imperative to managing potential underlying hormone disruptions in chronic pain syndromes. The myriad of overlapping symptoms between mid-life hormone imbalances and mid-life onset of fibromyalgia syndrome in women indicates a role for sex hormones in the etiology of fibromyalgia syndrome, which is, as of yet, unsupported by the literature. However, fibromyalgia treatment should be tailored to the individual needs of the patient, and adrenal, thyroid, and ovarian hormone support can lessen the painful burden of fibromyalgia through the modulation of various hormone-regulated pain-production pathways. ",{'MedlineDate': '2010 May-Jun'},"however , fibromyalgia treatment should be tailored to the individual needs of the patient , and adrenal , thyroid , and ovarian hormone support can lessen the painful burden of fibromyalgia through the modulation of various hormone-regulated pain-production pathways .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">however , fibromyalgia treatment should be tailored to the individual needs of the 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patient
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 , and 
<mark class=""entity"" style=""background: $((ORGAN)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    adrenal
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGAN</span>
</mark>
 , 
<mark class=""entity"" style=""background: $((ORGAN)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    thyroid
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGAN</span>
</mark>
 , and 
<mark class=""entity"" style=""background: $((ORGAN)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    ovarian
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGAN</span>
</mark>
 hormone support can lessen the painful burden of fibromyalgia through the modulation of various hormone-regulated pain-production pathways .</div>"
"These data support the efficacy of NFB as a treatment for pain , psychological symptoms and impaired quality of life associated with fibromyalgia .","Neurofeedback intervention in fibromyalgia syndrome; a randomized, controlled, rater blind clinical trial.",https://pubmed.ncbi.nlm.nih.gov/20614235/,"We designed a randomized, rater blind study to assess the efficacy of EEG Biofeedback (Neurofeedback-NFB) in patients with fibromyalgia syndrome (FMS). Eighteen patients received twenty sessions of NFB-sensory motor rhythm (SMR) treatment (NFB group) during 4 weeks, and eighteen patients were given 10 mg per day escitalopram treatment (control group) for 8 weeks. Visual Analog Scales for pain and fatigue, Hamilton and Beck Depression and Anxiety Inventory Scales, Fibromyalgia Impact Questionnaire and Short Form 36 were used as outcome measures which were applied at baseline and 2nd, 4th, 8th, 16th, 24th weeks. Mean amplitudes of EEG rhythms (delta, theta, alpha, SMR, beta1 and beta2) and theta/SMR ratio were also measured in NFB group. All post-treatment measurements showed significant improvements in both of the groups (for all parameters p &lt; 0.05). NFB group displayed greater benefits than controls (for all parameters p &lt; 0.05). Therapeutic efficacy of NFB was found to begin at 2nd week and reached to a maximum effect at 4th week. On the other hand, the improvements in SSRI treatment were also detected to begin at 2nd week but reached to a maximum effect at 8th week. No statistically significant changes were noted regarding mean amplitudes of EEG rhythms (p &gt; 0.05 for all). However, theta/SMR ratio showed a significant decrease at 4th week compared to baseline in the NFB group (p &lt; 0.05). These data support the efficacy of NFB as a treatment for pain, psychological symptoms and impaired quality of life associated with fibromyalgia.",20614235,2011-02-18,"['Serotonin Uptake Inhibitors', 'Citalopram']","We designed a randomized, rater blind study to assess the efficacy of EEG Biofeedback (Neurofeedback-NFB) in patients with fibromyalgia syndrome (FMS). Eighteen patients received twenty sessions of NFB-sensory motor rhythm (SMR) treatment (NFB group) during 4 weeks, and eighteen patients were given 10 mg per day escitalopram treatment (control group) for 8 weeks. Visual Analog Scales for pain and fatigue, Hamilton and Beck Depression and Anxiety Inventory Scales, Fibromyalgia Impact Questionnaire and Short Form 36 were used as outcome measures which were applied at baseline and 2nd, 4th, 8th, 16th, 24th weeks. Mean amplitudes of EEG rhythms (delta, theta, alpha, SMR, beta1 and beta2) and theta/SMR ratio were also measured in NFB group. All post-treatment measurements showed significant improvements in both of the groups (for all parameters p < 0.05). NFB group displayed greater benefits than controls (for all parameters p < 0.05). Therapeutic efficacy of NFB was found to begin at 2nd week and reached to a maximum effect at 4th week. On the other hand, the improvements in SSRI treatment were also detected to begin at 2nd week but reached to a maximum effect at 8th week. No statistically significant changes were noted regarding mean amplitudes of EEG rhythms (p > 0.05 for all). However, theta/SMR ratio showed a significant decrease at 4th week compared to baseline in the NFB group (p < 0.05). These data support the efficacy of NFB as a treatment for pain, psychological symptoms and impaired quality of life associated with fibromyalgia.","{'Year': '2010', 'Month': 'Dec'}","these data support the efficacy of nfb as a treatment for pain , psychological symptoms and impaired quality of life associated with fibromyalgia .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">these data support the efficacy of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    nfb
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 as a treatment for pain , psychological symptoms and impaired quality of life associated with fibromyalgia .</div>"
"The long-term safety and therapeutic response of sodium oxybate ( SXB ) in fibromyalgia syndrome ( FM ) patients were assessed for a combined period of up to 1 year in a prospective , multicenter , open-label , extension study in patients completing 1 of 2 phase 3 randomized , double-blind , controlled , 14-week trials that examined the efficacy and safety of SXB 4.5 g , SXB 6 g , and placebo for treatment of FM .",Long-term tolerability and maintenance of therapeutic response to sodium oxybate in an open-label extension study in patients with fibromyalgia.,https://pubmed.ncbi.nlm.nih.gov/24286114/,"The long-term safety and therapeutic response of sodium oxybate (SXB) in fibromyalgia syndrome (FM) patients were assessed for a combined period of up to 1 year in a prospective, multicenter, open-label, extension study in patients completing 1 of 2 phase 3 randomized, double-blind, controlled, 14-week trials that examined the efficacy and safety of SXB 4.5 g, SXB 6 g, and placebo for treatment of FM.",24286114,2014-11-04,"['Central Nervous System Depressants', 'Sodium Oxybate']","The long-term safety and therapeutic response of sodium oxybate (SXB) in fibromyalgia syndrome (FM) patients were assessed for a combined period of up to 1 year in a prospective, multicenter, open-label, extension study in patients completing 1 of 2 phase 3 randomized, double-blind, controlled, 14-week trials that examined the efficacy and safety of SXB 4.5 g, SXB 6 g, and placebo for treatment of FM.","{'Year': '2013', 'Month': 'Nov', 'Day': '11'}","the long-term safety and therapeutic response of sodium oxybate ( sxb ) in fibromyalgia syndrome ( fm ) patients were assessed for a combined period of up to 1 year in a prospective , multicenter , open-label , extension study in patients completing 1 of 2 phase 3 randomized , double-blind , controlled , 14-week trials that examined the efficacy and safety of sxb 4.5 g , sxb 6 g , and placebo for treatment of fm .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">the long-term safety and therapeutic response of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    sodium oxybate
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 ( 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    sxb
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 ) in fibromyalgia syndrome ( fm ) 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 were assessed for a combined period of up to 1 year in a prospective , multicenter , open-label , extension study in 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 completing 1 of 2 phase 3 randomized , double-blind , controlled , 14-week trials that examined the efficacy and safety of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    sxb
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 4.5 g , sxb 6 g , and placebo for treatment of fm .</div>"
"Pharmacy and medical claims data from Humana ( restricted cohort ; ST policy implemented 01/01/2009 ) and Thomson Reuters MarketScan ( ® ) ( unrestricted cohort ) were analyzed for MAPD members aged 65 to 89   years receiving treatment for painful diabetic peripheral neuropathy ( pDPN ) , postherpetic neuralgia ( PHN ) or fibromyalgia ( FM ) .",Impact of a pregabalin step therapy policy among medicare advantage beneficiaries.,https://pubmed.ncbi.nlm.nih.gov/23701733/,"Pharmacy and medical claims data from Humana (restricted cohort; ST policy implemented 01/01/2009) and Thomson Reuters MarketScan(®) (unrestricted cohort) were analyzed for MAPD members aged 65 to 89 years receiving treatment for painful diabetic peripheral neuropathy (pDPN), postherpetic neuralgia (PHN) or fibromyalgia (FM). Difference-in-differences (DID) was used to examine year-over-year changes in disease-related and all-cause utilization and costs. Regression analyses examined medication utilization and healthcare expenditures after controlling for between-group compositional differences.",23701733,2015-01-26,"['Analgesics', 'Pregabalin', 'gamma-Aminobutyric Acid']",Managed healthcare organizations often utilize formulary management strategies such as prior authorization and step therapy to guide appropriate medication use and to control medication expenditures. The objective of this study was to examine clinical and economic outcomes associated with implementation of a pregabalin step therapy (ST) policy among Medicare Advantage Prescription Drug (MAPD) members.,"{'Year': '2014', 'Month': 'Jun'}","pharmacy and medical claims data from humana ( restricted cohort ; st policy implemented 01/01/2009 ) and thomson reuters marketscan ( ® ) ( unrestricted cohort ) were analyzed for mapd members aged 65 to 89   years receiving treatment for painful diabetic peripheral neuropathy ( pdpn ) , postherpetic neuralgia ( phn ) or fibromyalgia ( fm ) .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">pharmacy and medical claims data from humana ( restricted cohort ; st policy implemented 01/01/2009 ) and thomson reuters marketscan ( ® ) ( unrestricted cohort ) were analyzed for mapd members aged 65 to 89   years receiving treatment for painful diabetic peripheral neuropathy ( pdpn ) , postherpetic neuralgia ( phn ) or fibromyalgia ( fm ) .</div>"
A pilot study of body awareness programs in the treatment of fibromyalgia syndrome .,A pilot study of body awareness programs in the treatment of fibromyalgia syndrome.,https://pubmed.ncbi.nlm.nih.gov/14635300/,"A pilot study of body awareness programs in the treatment of fibromyalgia syndrome. To compare in a pilot study the effect of two physical therapies, the Mensendieck system (MS) and body awareness therapy (BAT) according to Roxendal, in fibromyalgia patients and to investigate differences in effect between the two interventions.",14635300,2003-12-17,,"To compare in a pilot study the effect of two physical therapies, the Mensendieck system (MS) and body awareness therapy (BAT) according to Roxendal, in fibromyalgia patients and to investigate differences in effect between the two interventions.","{'Year': '2000', 'Month': 'Oct'}",a pilot study of body awareness programs in the treatment of fibromyalgia syndrome .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">a pilot study of 
<mark class=""entity"" style=""background: $((ORGANISM_SUBDIVISION)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    body
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM_SUBDIVISION</span>
</mark>
 awareness programs in the treatment of fibromyalgia syndrome .</div>"
History of abuse did not predict response to treatment in patients with fibromyalgia participating in a controlled trial of paroxetine controlled release .,"History of early abuse as a predictor of treatment response in patients with fibromyalgia: a post-hoc analysis of a 12-week, randomized, double-blind, placebo-controlled trial of paroxetine controlled release.",https://pubmed.ncbi.nlm.nih.gov/19382010/,"Although, a significant proportion of patients with fibromyalgia reported a history of abuse, it does not appear to have any significant clinical correlates at baseline. History of abuse did not predict response to treatment in patients with fibromyalgia participating in a controlled trial of paroxetine controlled release. Prospective, well-designed studies are needed to confirm whether selective serotonin uptake inhibitors are effective in patients with fibromyalgia irrespective of their abuse history.",19382010,2010-03-01,"['Antidepressive Agents, Second-Generation', 'Delayed-Action Preparations', 'Paroxetine']","We conducted a post-hoc analysis to determine whether a history of physical or sexual abuse was associated with response to treatment in a double-blind, randomized, placebo-controlled trial of paroxetine controlled release (CR) in fibromyalgia.",{'Year': '2009'},history of abuse did not predict response to treatment in patients with fibromyalgia participating in a controlled trial of paroxetine controlled release .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">history of abuse did not predict response to treatment in 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with fibromyalgia participating in a controlled trial of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    paroxetine
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 controlled release .</div>"
